,B,M
radius_mean,12.14652380952381,17.462830188679245
texture_mean,17.914761904761903,21.60490566037736
perimeter_mean,78.07540616246499,115.36537735849056
area_mean,462.7901960784314,978.3764150943396
smoothness_mean,0.09247764705882353,0.10289849056603774
compactness_mean,0.08008462184873949,0.14518778301886792
concavity_mean,0.04605762100840336,0.16077471698113208
concave_points_mean,0.025717406162464984,0.08799
symmetry_mean,0.17418599439775911,0.19290896226415097
fractal_dimension_mean,0.0628673949579832,0.06268009433962264
radius_se,0.28408235294117645,0.6090825471698113
texture_se,1.2203801120448179,1.2109146226415095
perimeter_se,2.0003212885154062,4.3239292452830185
area_se,21.135148459383753,72.67240566037735
smoothness_se,0.007195901960784313,0.006780094339622642
compactness_se,0.02143824649859944,0.03228116509433963
concavity_se,0.02599673557422969,0.041824009433962264
concave_points_se,0.009857652661064425,0.015060471698113207
symmetry_se,0.020583806722689075,0.020472400943396227
fractal_dimension_se,0.0036360512605042015,0.0040624056603773585
radius_worst,13.37980112044818,21.134811320754718
texture_worst,23.515070028011202,29.318207547169813
perimeter_worst,87.00593837535014,141.37033018867925
area_worst,558.8994397759104,1422.286320754717
smoothness_worst,0.12495949579831933,0.14484523584905662
compactness_worst,0.18267254901960786,0.37482410377358494
concavity_worst,0.16623772268907563,0.4506055660377358
concave_points_worst,0.07444434453781512,0.1822373113207547
symmetry_worst,0.27024593837535016,0.32346792452830186
fractal_dimension_worst,0.07944207282913165,0.09152995283018868
