,min,max,range
area_worst,185.2,4254.0,4068.8
area_mean,143.5,2501.0,2357.5
area_se,6.802,542.2,535.398
perimeter_worst,50.41,251.2,200.79
perimeter_mean,43.79,188.5,144.71
texture_worst,12.02,49.54,37.519999999999996
texture_mean,9.71,39.28,29.57
radius_worst,7.93,36.04,28.11
perimeter_se,0.757,21.98,21.223
radius_mean,6.981,28.11,21.128999999999998
texture_se,0.3602,4.885,4.5248
radius_se,0.1115,2.873,2.7615000000000003
concavity_worst,0.0,1.252,1.252
compactness_worst,0.02729,1.058,1.03071
symmetry_worst,0.1565,0.6638,0.5073
concavity_mean,0.0,0.4268,0.4268
concavity_se,0.0,0.396,0.396
compactness_mean,0.01938,0.3454,0.32602
concave_points_worst,0.0,0.291,0.291
concave_points_mean,0.0,0.2012,0.2012
symmetry_mean,0.106,0.304,0.198
fractal_dimension_worst,0.05504,0.2075,0.15245999999999998
smoothness_worst,0.07117,0.2226,0.15143
compactness_se,0.002252,0.1354,0.133148
smoothness_mean,0.05263,0.1634,0.11076999999999998
symmetry_se,0.007882,0.07895,0.071068
concave_points_se,0.0,0.05279,0.05279
fractal_dimension_mean,0.04996,0.09744,0.04748
smoothness_se,0.001713,0.03113,0.029417000000000002
fractal_dimension_se,0.0008948,0.02984,0.028945199999999997
