feature_1,feature_2,correlation
radius_mean,perimeter_mean,0.9978552814938106
radius_worst,perimeter_worst,0.993707916102949
radius_mean,area_mean,0.9873571700566129
perimeter_mean,area_mean,0.9865068039913908
radius_worst,area_worst,0.9840145644590745
perimeter_worst,area_worst,0.9775780914063873
radius_se,perimeter_se,0.9727936770160764
perimeter_mean,perimeter_worst,0.9703868870426395
radius_mean,radius_worst,0.9695389726112049
perimeter_mean,radius_worst,0.9694763634663146
radius_mean,perimeter_worst,0.9651365139559871
area_mean,radius_worst,0.9627460860470841
area_mean,area_worst,0.9592133256498999
area_mean,perimeter_worst,0.9591195743552647
radius_se,area_se,0.951830112110991
perimeter_mean,area_worst,0.9415498080023067
radius_mean,area_worst,0.9410824595860461
perimeter_se,area_se,0.9376554069544158
concavity_mean,concave_points_mean,0.921391026378859
texture_mean,texture_worst,0.912044588840421
concave_points_mean,concave_points_worst,0.910155314298592
